confirmed,recovered,death,date,cumulative_confirmed,cumulative_recovered,cumulative_death,active_cases
2,0,0,2020-03-12,2,0,0,2
2,0,0,2020-03-13,4,0,0,4
2,0,0,2020-03-14,6,0,0,6
1,0,0,2020-03-17,7,0,0,7
2,0,0,2020-03-18,9,0,0,9
2,0,0,2020-03-19,11,0,0,11
5,0,0,2020-03-20,16,0,0,16
3,2,1,2020-03-21,19,2,1,16
3,0,1,2020-03-22,22,2,2,18
3,0,0,2020-03-23,25,2,2,21
26,0,0,2020-03-24,51,2,2,47
15,0,0,2020-03-25,66,2,2,62
64,0,1,2020-03-26,130,2,3,125
5,0,1,2020-03-27,135,2,4,129
6,0,1,2020-03-28,141,2,5,134
11,0,0,2020-03-29,152,2,5,145
9,1,0,2020-03-31,161,3,5,153
34,0,0,2020-04-01,195,3,5,187
9,0,0,2020-04-02,204,3,5,196
1,0,0,2020-04-03,205,3,5,197
9,0,0,2020-04-04,214,3,5,206
73,0,0,2020-04-06,287,3,5,279
26,0,0,2020-04-07,313,3,5,305
65,1,1,2020-04-09,378,4,6,368
30,0,2,2020-04-10,408,4,8,396
158,0,0,2020-04-11,566,4,8,554
70,79,0,2020-04-14,636,83,8,545
5,0,0,2020-04-15,641,83,8,550
193,16,1,2020-04-18,834,99,9,726
208,0,0,2020-04-19,1042,99,9,934
237,35,1,2020-04-22,1279,134,10,1135
271,21,1,2020-04-25,1550,155,11,1384
121,33,5,2020-04-27,1671,188,16,1467
403,24,1,2020-04-28,2074,212,17,1845
95,17,1,2020-05-01,2169,229,18,1922
550,65,0,2020-05-02,2719,294,18,2407
372,9,0,2020-05-04,3091,303,18,2770
921,20,0,2020-05-07,4012,323,18,3671
251,55,4,2020-05-08,4263,378,22,3863
437,116,0,2020-05-10,4700,494,22,4184
427,0,0,2020-05-11,5127,494,22,4611
281,20,2,2020-05-12,5408,514,24,4870
122,160,0,2020-05-13,5530,674,24,4832
108,786,4,2020-05-14,5638,1460,28,4150
97,294,1,2020-05-15,5735,1754,29,3952
183,0,2,2020-05-17,5918,1754,31,4133
178,19,0,2020-05-18,6096,1773,31,4292
173,125,0,2020-05-19,6269,1898,31,4340
217,53,0,2020-05-20,6486,1951,31,4504
131,27,0,2020-05-21,6617,1978,31,4608
66,20,1,2020-05-22,6683,1998,32,4653
125,72,0,2020-05-23,6808,2070,32,4706
156,27,0,2020-05-24,6964,2097,32,4835
153,220,2,2020-05-25,7117,2317,34,4766
186,95,0,2020-05-26,7303,2412,34,4857
313,9,0,2020-05-27,7616,2421,34,5161
152,119,1,2020-05-28,7768,2540,35,5193
113,301,1,2020-05-29,7881,2841,36,5004
189,106,0,2020-05-30,8070,2947,36,5087
227,39,2,2020-05-31,8297,2986,38,5273
251,146,0,2020-06-01,8548,3132,38,5378
337,57,0,2020-06-02,8885,3189,38,5658
283,268,4,2020-06-03,9168,3457,42,5669
294,90,2,2020-06-04,9462,3547,44,5871
176,89,0,2020-06-05,9638,3636,44,5958
272,9,4,2020-06-06,9910,3645,48,6217
291,110,0,2020-06-07,10201,3755,48,6398
157,69,0,2020-06-08,10358,3824,48,6486
498,97,0,2020-06-09,10856,3921,48,6887
262,58,0,2020-06-10,11118,3979,48,7091
304,177,3,2020-06-11,11422,4156,51,7215
295,102,3,2020-06-12,11717,4258,54,7405
247,0,0,2020-06-13,11964,4258,54,7652
229,68,4,2020-06-14,12193,4326,58,7809
397,84,8,2020-06-15,12590,4410,66,8114
339,58,0,2020-06-16,12929,4468,66,8395
274,80,4,2020-06-17,13203,4548,70,8585
514,5526,15,2020-06-18,13717,10074,85,3558
290,399,0,2020-06-19,14007,10473,85,3449
147,0,0,2020-06-20,14154,10473,85,3596
414,434,10,2020-06-21,14568,10907,95,3566
445,171,0,2020-06-22,15013,11078,95,3840
460,353,0,2020-06-23,15473,11431,95,3947
361,324,8,2020-06-24,15834,11755,103,3976
597,502,0,2020-06-25,16431,12257,103,4071
311,463,9,2020-06-26,16742,12720,112,3910
609,274,0,2020-06-27,17351,12994,112,4245
390,274,0,2020-06-28,17741,13268,112,4361
393,282,5,2020-06-29,18134,13550,117,4467
1254,780,0,2020-07-01,19388,14330,117,4941
697,540,5,2020-07-02,20085,14870,122,5093
992,1200,7,2020-07-03,21077,16070,129,4878
891,1086,0,2020-07-04,21968,17156,129,4683
854,408,0,2020-07-05,22822,17564,129,5129
641,1058,0,2020-07-06,23463,18622,129,4712
371,590,6,2020-07-07,23834,19212,135,4487
414,619,0,2020-07-08,24248,19831,135,4282
270,356,4,2020-07-09,24518,20187,139,4192
470,880,0,2020-07-10,24988,21067,139,3782
264,330,0,2020-07-11,25252,21397,139,3716
178,114,0,2020-07-12,25430,21511,139,3780
695,759,0,2020-07-13,26125,22270,139,3716
447,645,5,2020-07-14,26572,22915,144,3513
488,129,1,2020-07-15,27060,23044,145,3871
607,205,3,2020-07-16,27667,23249,148,4270
763,1652,5,2020-07-17,28430,24901,153,3376
559,430,0,2020-07-18,28989,25331,153,3505
683,759,0,2020-07-19,29672,26090,153,3429
694,597,0,2020-07-20,30366,26687,153,3526
691,1114,8,2020-07-21,31057,27801,161,3095
794,637,0,2020-07-22,31851,28438,161,3252
586,489,0,2020-07-23,32437,28927,161,3349
532,567,7,2020-07-24,32969,29494,168,3307
655,307,0,2020-07-25,33624,29801,168,3655
782,820,0,2020-07-26,34406,30621,168,3617
736,665,7,2020-07-27,35142,31286,175,3681
359,810,7,2020-07-28,35501,32096,182,3223
1513,1269,0,2020-07-30,37014,33365,182,3467
798,948,9,2020-07-31,37812,34313,191,3308
689,469,0,2020-08-01,38501,34782,191,3528
574,781,8,2020-08-02,39075,35563,199,3313
567,821,0,2020-08-03,39642,36384,199,3059
455,254,7,2020-08-04,40097,36638,206,3253
436,1064,0,2020-08-05,40533,37702,206,2625
470,628,9,2020-08-06,41003,38330,215,2458
209,397,0,2020-08-07,41212,38727,215,2270
192,328,0,2020-08-08,41404,39055,215,2134
168,265,8,2020-08-09,41572,39320,223,2029
153,175,0,2020-08-10,41725,39495,223,2007
122,223,0,2020-08-11,41847,39718,223,1906
216,275,8,2020-08-12,42063,39993,231,1839
147,154,0,2020-08-13,42210,40147,231,1832
322,215,0,2020-08-14,42532,40362,231,1939
121,205,8,2020-08-15,42653,40567,239,1847
340,229,9,2020-08-16,42993,40796,248,1949
83,167,8,2020-08-17,43076,40963,256,1857
184,313,5,2020-08-18,43260,41276,261,1723
65,132,0,2020-08-19,43325,41408,261,1656
180,124,0,2020-08-20,43505,41532,261,1712
117,163,2,2020-08-21,43622,41695,263,1664
95,148,7,2020-08-22,43717,41843,270,1604
52,205,0,2020-08-23,43769,42048,270,1451
72,198,0,2020-08-24,43841,42246,270,1325
108,146,0,2020-08-25,43949,42392,270,1287
169,189,0,2020-08-26,44118,42581,270,1267
87,196,6,2020-08-27,44205,42777,276,1152
255,344,0,2020-08-29,44460,43121,276,1063
157,232,0,2020-08-30,44617,43353,276,988
41,125,0,2020-08-31,44658,43478,276,904
55,99,4,2020-09-01,44713,43577,280,856
64,116,3,2020-09-02,44777,43693,283,801
92,108,0,2020-09-03,44869,43801,283,785
143,97,0,2020-09-04,45012,43898,283,831
176,144,0,2020-09-05,45188,44042,283,863
125,146,0,2020-09-06,45313,44188,283,842
75,79,2,2020-09-07,45388,44267,285,836
46,75,1,2020-09-08,45434,44342,286,806
59,129,3,2020-09-09,45493,44471,289,733
79,170,3,2020-09-10,45572,44641,292,639
29,38,2,2020-09-11,45601,44679,294,628
54,118,0,2020-09-12,45655,44797,294,564
59,99,0,2020-09-13,45714,44896,294,524
46,77,1,2020-09-14,45760,44973,295,492
97,56,0,2020-09-15,45857,45029,295,533
20,52,2,2020-09-16,45877,45081,297,499
127,72,0,2020-09-17,46004,45153,297,554
58,105,0,2020-09-18,46062,45258,297,507
54,32,0,2020-09-19,46116,45290,297,529
37,9,2,2020-09-20,46153,45299,299,555
69,118,0,2020-09-21,46222,45417,299,506
131,160,0,2020-09-22,46353,45577,299,477
34,41,0,2020-09-23,46387,45618,299,470
57,28,0,2020-09-24,46444,45646,299,499
38,5,2,2020-09-25,46482,45651,301,530
144,106,0,2020-09-26,46626,45757,301,568
30,185,0,2020-09-27,46656,45942,301,413
38,3,0,2020-09-28,46694,45945,301,448
74,19,0,2020-09-29,46768,45964,301,503
35,42,2,2020-09-30,46803,46006,303,494
26,54,0,2020-10-01,46829,46060,303,466
76,163,3,2020-10-03,46905,46223,306,376
42,36,0,2020-10-04,46947,46259,306,382
17,51,0,2020-10-05,46964,46310,306,348
23,68,0,2020-10-06,46987,46378,306,303
18,20,0,2020-10-07,47005,46398,306,301
25,26,2,2020-10-08,47030,46424,308,298
67,28,0,2020-10-09,47097,46452,308,337
29,17,2,2020-10-10,47126,46469,310,347
25,21,0,2020-10-11,47151,46490,310,351
22,37,0,2020-10-12,47173,46527,310,336
26,14,0,2020-10-13,47199,46541,310,348
33,37,0,2020-10-14,47232,46578,310,344
78,40,0,2020-10-15,47310,46618,310,382
62,46,0,2020-10-16,47372,46664,310,398
89,88,2,2020-10-17,47461,46752,312,397
77,37,0,2020-10-18,47538,46789,312,437
63,35,2,2020-10-19,47601,46824,314,463
48,32,0,2020-10-20,47649,46856,314,479
41,31,2,2020-10-21,47690,46887,316,487
55,32,0,2020-10-22,47745,46919,316,510
30,52,0,2020-10-23,47775,46971,316,488
216,165,4,2020-10-26,47991,47136,320,535
64,33,0,2020-10-27,48055,47169,320,566
69,46,0,2020-10-28,48124,47215,320,589
76,45,0,2020-10-29,48200,47260,320,620
311,112,0,2020-10-31,48511,47372,320,819
132,74,0,2020-11-01,48643,47446,320,877
145,75,0,2020-11-02,48788,47521,320,947
